gcid                 blocknum             valid                start                end                  duration            
0                    606                  0.203125             2779080000           2795040000.0         15960000.0          
1                    367                  0.21875              2779080000           2795300000.0         16220000.0          
2                    748                  0.234375             2779080000           2797240000.0         18160000.0          
3                    484                  0.234375             2779080000           2797400000.0         18320000.0          
4                    615                  0.21875              2779080000           2797600000.0         18520000.0          
5                    481                  0.2265625            2779080000           2798920000.0         19840000.0          
6                    743                  0.234375             2779080000           2798980000.0         19900000.0          
7                    487                  0.2265625            2779080000           2801540000.0         22460000.0          
8                    214                  0.23828125           2795040000.0         2814780000.0         19740000.0          
9                    751                  0.23828125           2795300000.0         2815560000.0         20260000.0          
10                   617                  0.2421875            2797600000.0         2817880000.0         20280000.0          
11                   623                  0.2421875            2798920000.0         2819380000.0         20460000.0          
12                   377                  0.25                 2801540000.0         2820680000.0         19140000.0          
13                   500                  0.2421875            2797240000.0         2821740000.0         24500000.0          
14                   609                  0.2421875            2797400000.0         2822620000.0         25220000.0          
15                   356                  0.25                 2798980000.0         2824760000.0         25780000.0          
16                   501                  0.25                 2824760000.0         2841380000.0         16620000.0          
17                   612                  0.25                 2824760000.0         2841380000.0         16620000.0          
18                   729                  0.25                 2824760000.0         2841620000.0         16860000.0          
19                   862                  0.25                 2824760000.0         2841620000.0         16860000.0          
20                   1015                 0.25390625           2824760000.0         2843080000.0         18320000.0          
21                   876                  0.25                 2824760000.0         2843120000.0         18360000.0          
22                   1021                 0.25390625           2824760000.0         2844580000.0         19820000.0          
23                   740                  0.25390625           2824760000.0         2846280000.0         21520000.0          
24                   88                   0.2578125            2841380000.0         2862500000.0         21120000.0          
25                   353                  0.2578125            2841620000.0         2863320000.0         21700000.0          
26                   373                  0.2578125            2843120000.0         2865600000.0         22480000.0          
27                   108                  0.2578125            2841380000.0         2865800000.0         24420000.0          
28                   477                  0.2578125            2844580000.0         2867540000.0         22960000.0          
29                   360                  0.2578125            2843080000.0         2867560000.0         24480000.0          
30                   359                  0.2578125            2841620000.0         2869060000.0         27440000.0          
31                   478                  0.2578125            2846280000.0         2869260000.0         22980000.0          
32                   989                  0.2578125            2869260000.0         2888040000.0         18780000.0          
33                   495                  0.2578125            2869260000.0         2888200000.0         18940000.0          
34                   633                  0.2578125            2869260000.0         2888220000.0         18960000.0          
35                   228                  0.26171875           2869260000.0         2888460000.0         19200000.0          
36                   745                  0.26171875           2869260000.0         2888460000.0         19200000.0          
37                   368                  0.26171875           2869260000.0         2889760000.0         20500000.0          
38                   248                  0.26171875           2869260000.0         2889960000.0         20700000.0          
39                   1016                 0.26171875           2869260000.0         2890140000.0         20880000.0          
40                   123                  0.265625             2888040000.0         2913880000.0         25840000.0          
41                   506                  0.265625             2888220000.0         2914060000.0         25840000.0          
42                   742                  0.265625             2889760000.0         2914480000.0         24720000.0          
43                   624                  0.265625             2888460000.0         2914740000.0         26280000.0          
44                   125                  0.265625             2888200000.0         2915380000.0         27180000.0          
45                   855                  0.265625             2889960000.0         2915980000.0         26020000.0          
46                   614                  0.265625             2888460000.0         2917300000.0         28840000.0          
47                   863                  0.265625             2890140000.0         2917920000.0         27780000.0          
48                   867                  0.265625             2917920000.0         2938340000.0         20420000.0          
49                   117                  0.26953125           2917920000.0         2938680000.0         20760000.0          
50                   1004                 0.26953125           2917920000.0         2938740000.0         20820000.0          
51                   871                  0.265625             2917920000.0         2939840000.0         21920000.0          
52                   119                  0.26953125           2917920000.0         2940180000.0         22260000.0          
53                   879                  0.265625             2917920000.0         2941340000.0         23420000.0          
54                   98                   0.2734375            2917920000.0         2942120000.0         24200000.0          
55                   86                   0.2734375            2917920000.0         2944280000.0         26360000.0          
56                   241                  0.2734375            2940180000.0         2963680000.0         23500000.0          
57                   225                  0.2734375            2938740000.0         2966180000.0         27440000.0          
58                   104                  0.2734375            2938340000.0         2966560000.0         28220000.0          
59                   234                  0.2734375            2939840000.0         2968420000.0         28580000.0          
60                   505                  0.2734375            2944280000.0         2969720000.0         25440000.0          
61                   253                  0.2734375            2942120000.0         2970620000.0         28500000.0          
62                   217                  0.2734375            2938680000.0         2972360000.0         33680000.0          
63                   242                  0.2734375            2941340000.0         2973860000.0         32520000.0          
64                   735                  0.2734375            2973860000.0         2993520000.0         19660000.0          
65                   603                  0.2734375            2973860000.0         2993520000.0         19660000.0          
66                   984                  0.2734375            2973860000.0         2993540000.0         19680000.0          
67                   870                  0.2734375            2973860000.0         2993560000.0         19700000.0          
68                   760                  0.2734375            2973860000.0         2995020000.0         21160000.0          
69                   631                  0.2734375            2973860000.0         2995020000.0         21160000.0          
70                   888                  0.2734375            2973860000.0         2995060000.0         21200000.0          
71                   893                  0.2734375            2973860000.0         2996560000.0         22700000.0          
72                   103                  0.27734375           2993540000.0         3013420000.0         19880000.0          
73                   247                  0.27734375           2995020000.0         3016480000.0         21460000.0          
74                   1008                 0.2734375            2993520000.0         3016540000.0         23020000.0          
75                   753                  0.27734375           2995020000.0         3018180000.0         23160000.0          
76                   991                  0.27734375           2995060000.0         3018620000.0         23560000.0          
77                   87                   0.28125              2996560000.0         3019480000.0         22920000.0          
78                   1007                 0.2734375            2993520000.0         3020120000.0         26600000.0          
79                   120                  0.27734375           2993560000.0         3022040000.0         28480000.0          
80                   114                  0.28125              3022040000.0         3043360000.0         21320000.0          
81                   249                  0.28125              3022040000.0         3043380000.0         21340000.0          
82                   483                  0.28125              3022040000.0         3043660000.0         21620000.0          
