gcid                 blocknum             valid                start                end                  duration            
0                    863                  0.0                  11552340000          11555040000.0        2700000.0           
1                    1885                 0.0                  11552340000          11555040000.0        2700000.0           
2                    2458                 0.0                  11552340000          11555040000.0        2700000.0           
3                    408                  0.0                  11552340000          11555840000.0        3500000.0           
4                    1888                 0.0                  11552340000          11556540000.0        4200000.0           
5                    2504                 0.0                  11555040000.0        11556540000.0        1500000.0           
6                    3425                 0.0                  11555040000.0        11556540000.0        1500000.0           
7                    442                  0.0                  11552340000          11557340000.0        5000000.0           
8                    1901                 0.0                  11552340000          11558040000.0        5700000.0           
9                    2510                 0.0                  11555040000.0        11558040000.0        3000000.0           
10                   3526                 0.0                  11555840000.0        11558040000.0        2200000.0           
11                   3972                 0.0                  11556540000.0        11558040000.0        1500000.0           
12                   466                  0.0                  11552340000          11558840000.0        6500000.0           
13                   3981                 0.0                  11556540000.0        11559540000.0        3000000.0           
14                   4027                 0.0                  11556540000.0        11561040000.0        4500000.0           
15                   4038                 0.0                  11557340000.0        11562540000.0        5200000.0           
16                   1421                 0.00390625           11562540000.0        11564260000.0        1720000.0           
17                   901                  0.00390625           11562540000.0        11564280000.0        1740000.0           
18                   2920                 0.00390625           11562540000.0        11564300000.0        1760000.0           
19                   2392                 0.00390625           11562540000.0        11564320000.0        1780000.0           
20                   914                  0.00390625           11562540000.0        11565780000.0        3240000.0           
21                   2454                 0.00390625           11562540000.0        11565820000.0        3280000.0           
22                   2926                 0.00390625           11564260000.0        11566020000.0        1760000.0           
23                   3446                 0.00390625           11564300000.0        11566020000.0        1720000.0           
24                   2446                 0.00390625           11562540000.0        11567320000.0        4780000.0           
25                   2931                 0.00390625           11564280000.0        11567520000.0        3240000.0           
26                   3465                 0.00390625           11564320000.0        11567520000.0        3200000.0           
27                   3994                 0.00390625           11565820000.0        11567560000.0        1740000.0           
28                   2492                 0.00390625           11562540000.0        11568820000.0        6280000.0           
29                   4050                 0.00390625           11566020000.0        11569220000.0        3200000.0           
30                   3547                 0.00390625           11565780000.0        11569240000.0        3460000.0           
31                   4049                 0.00390625           11566020000.0        11570720000.0        4700000.0           
32                   342                  0.0078125            11570720000.0        11572740000.0        2020000.0           
33                   880                  0.0078125            11570720000.0        11572820000.0        2100000.0           
34                   463                  0.0078125            11570720000.0        11574240000.0        3520000.0           
35                   956                  0.0078125            11570720000.0        11574320000.0        3600000.0           
36                   440                  0.0078125            11570720000.0        11575740000.0        5020000.0           
37                   972                  0.0078125            11570720000.0        11575820000.0        5100000.0           
38                   1402                 0.0078125            11574240000.0        11576200000.0        1960000.0           
39                   908                  0.0078125            11570720000.0        11577320000.0        6600000.0           
40                   1419                 0.0078125            11574320000.0        11577700000.0        3380000.0           
41                   1920                 0.0078125            11576200000.0        11578140000.0        1940000.0           
42                   973                  0.0078125            11570720000.0        11578820000.0        8100000.0           
43                   1399                 0.0078125            11572820000.0        11579480000.0        6660000.0           
44                   1923                 0.0078125            11577320000.0        11580080000.0        2760000.0           
45                   1456                 0.0078125            11575740000.0        11580980000.0        5240000.0           
46                   1384                 0.0078125            11572740000.0        11582480000.0        9740000.0           
47                   1479                 0.0078125            11575820000.0        11584200000.0        8380000.0           
48                   1937                 0.0078125            11584200000.0        11586200000.0        2000000.0           
49                   2414                 0.0078125            11584200000.0        11586220000.0        2020000.0           
50                   2909                 0.0078125            11584200000.0        11586220000.0        2020000.0           
51                   1968                 0.0078125            11584200000.0        11587700000.0        3500000.0           
52                   2500                 0.0078125            11584200000.0        11587720000.0        3520000.0           
53                   3011                 0.0078125            11584200000.0        11587720000.0        3520000.0           
54                   3925                 0.0078125            11586200000.0        11588180000.0        1980000.0           
55                   2518                 0.0078125            11584200000.0        11589220000.0        5020000.0           
56                   3024                 0.0078125            11584200000.0        11589220000.0        5020000.0           
57                   3928                 0.0078125            11586220000.0        11589880000.0        3660000.0           
58                   362                  0.01171875           11587720000.0        11589900000.0        2180000.0           
59                   3975                 0.0078125            11586220000.0        11591380000.0        5160000.0           
60                   366                  0.01171875           11587720000.0        11591840000.0        4120000.0           
61                   405                  0.01171875           11588180000.0        11593360000.0        5180000.0           
62                   360                  0.01171875           11587700000.0        11595080000.0        7380000.0           
63                   444                  0.01171875           11589220000.0        11596580000.0        7360000.0           
64                   859                  0.01171875           11596580000.0        11598880000.0        2300000.0           
65                   1383                 0.01171875           11596580000.0        11598900000.0        2320000.0           
66                   1918                 0.01171875           11596580000.0        11598920000.0        2340000.0           
67                   917                  0.01171875           11596580000.0        11600380000.0        3800000.0           
68                   1423                 0.01171875           11596580000.0        11600400000.0        3820000.0           
69                   1919                 0.01171875           11596580000.0        11600420000.0        3840000.0           
70                   1933                 0.01171875           11596580000.0        11601920000.0        5340000.0           
71                   2484                 0.01171875           11600380000.0        11602540000.0        2160000.0           
72                   1977                 0.01171875           11596580000.0        11603420000.0        6840000.0           
73                   3524                 0.01171875           11601920000.0        11604080000.0        2160000.0           
74                   2975                 0.01171875           11600420000.0        11604240000.0        3820000.0           
75                   2906                 0.01171875           11600400000.0        11605740000.0        5340000.0           
76                   1979                 0.01171875           11598880000.0        11605820000.0        6940000.0           
77                   3542                 0.01171875           11602540000.0        11606020000.0        3480000.0           
78                   1983                 0.01171875           11598920000.0        11607320000.0        8400000.0           
79                   1980                 0.01171875           11598900000.0        11609040000.0        10140000.0          
80                   3935                 0.01171875           11609040000.0        11611360000.0        2320000.0           
81                   386                  0.015625             11609040000.0        11611740000.0        2700000.0           
82                   4045                 0.01171875           11609040000.0        11612860000.0        3820000.0           
83                   434                  0.015625             11609040000.0        11613240000.0        4200000.0           
