gcid                 blocknum             valid                start                end                  duration            
0                    408                  0.0                  11557540000          11559840000.0        2300000.0           
1                    863                  0.0                  11557540000          11559840000.0        2300000.0           
2                    2920                 0.00390625           11557540000          11560060000.0        2520000.0           
3                    2458                 0.0                  11557540000          11560240000.0        2700000.0           
4                    3972                 0.0                  11557540000          11560240000.0        2700000.0           
5                    3425                 0.0                  11557540000          11560440000.0        2900000.0           
6                    1885                 0.0                  11557540000          11560640000.0        3100000.0           
7                    442                  0.0                  11559840000.0        11561340000.0        1500000.0           
8                    2504                 0.0                  11560240000.0        11561740000.0        1500000.0           
9                    901                  0.00390625           11559840000.0        11561940000.0        2100000.0           
10                   1888                 0.0                  11560240000.0        11562140000.0        1900000.0           
11                   3526                 0.0                  11560640000.0        11562140000.0        1500000.0           
12                   1421                 0.00390625           11557540000          11562140000.0        4600000.0           
13                   3981                 0.0                  11561340000.0        11562840000.0        1500000.0           
14                   2926                 0.00390625           11560440000.0        11563640000.0        3200000.0           
15                   1384                 0.0078125            11560060000.0        11563860000.0        3800000.0           
16                   466                  0.0                  11563860000.0        11565360000.0        1500000.0           
17                   1901                 0.0                  11563860000.0        11565360000.0        1500000.0           
18                   2510                 0.0                  11563860000.0        11565360000.0        1500000.0           
19                   4027                 0.0                  11563860000.0        11565360000.0        1500000.0           
20                   2931                 0.00390625           11563860000.0        11565580000.0        1720000.0           
21                   3446                 0.00390625           11563860000.0        11565580000.0        1720000.0           
22                   914                  0.00390625           11563860000.0        11567080000.0        3220000.0           
23                   1399                 0.0078125            11563860000.0        11567300000.0        3440000.0           
24                   2392                 0.00390625           11565580000.0        11567300000.0        1720000.0           
25                   342                  0.0078125            11565360000.0        11567500000.0        2140000.0           
26                   1920                 0.0078125            11565360000.0        11567500000.0        2140000.0           
27                   1402                 0.0078125            11565360000.0        11568800000.0        3440000.0           
28                   4038                 0.0                  11567300000.0        11568800000.0        1500000.0           
29                   2909                 0.0078125            11565580000.0        11568800000.0        3220000.0           
30                   3465                 0.00390625           11567080000.0        11569200000.0        2120000.0           
31                   880                  0.0078125            11565360000.0        11570500000.0        5140000.0           
32                   2446                 0.00390625           11570500000.0        11572220000.0        1720000.0           
33                   3547                 0.00390625           11570500000.0        11572220000.0        1720000.0           
34                   3994                 0.00390625           11570500000.0        11572220000.0        1720000.0           
35                   908                  0.0078125            11570500000.0        11572440000.0        1940000.0           
36                   3011                 0.0078125            11570500000.0        11572440000.0        1940000.0           
37                   440                  0.0078125            11570500000.0        11573920000.0        3420000.0           
38                   1923                 0.0078125            11570500000.0        11573920000.0        3420000.0           
39                   1419                 0.0078125            11570500000.0        11573940000.0        3440000.0           
40                   2454                 0.00390625           11572440000.0        11574160000.0        1720000.0           
41                   463                  0.0078125            11572220000.0        11575640000.0        3420000.0           
42                   1456                 0.0078125            11572220000.0        11575860000.0        3640000.0           
