gcid                 blocknum             valid                start                end                  duration            
0                    2302                 0.0                  17292300000          17294000000.0        1700000.0           
1                    2877                 0.0                  17292300000          17294000000.0        1700000.0           
2                    3851                 0.0                  17292300000          17294400000.0        2100000.0           
3                    254                  0.0                  17292300000          17294400000.0        2100000.0           
4                    764                  0.0                  17292300000          17294800000.0        2500000.0           
5                    1790                 0.0                  17292300000          17294800000.0        2500000.0           
6                    1362                 0.0                  17292300000          17295200000.0        2900000.0           
7                    3393                 0.0                  17292300000          17295400000.0        3100000.0           
8                    256                  0.0                  17294000000.0        17295900000.0        1900000.0           
9                    815                  0.0                  17294000000.0        17296300000.0        2300000.0           
10                   1867                 0.0                  17294400000.0        17296300000.0        1900000.0           
11                   2402                 0.0                  17294800000.0        17296300000.0        1500000.0           
12                   2892                 0.0                  17294800000.0        17296300000.0        1500000.0           
13                   3425                 0.0                  17295200000.0        17296900000.0        1700000.0           
14                   3972                 0.0                  17295400000.0        17296900000.0        1500000.0           
15                   1421                 0.00390625           17294400000.0        17298000000.0        3600000.0           
16                   330                  0.0                  17298000000.0        17299500000.0        1500000.0           
17                   822                  0.0                  17298000000.0        17299500000.0        1500000.0           
18                   1885                 0.0                  17298000000.0        17299500000.0        1500000.0           
19                   2504                 0.0                  17298000000.0        17299500000.0        1500000.0           
20                   2896                 0.0                  17298000000.0        17299500000.0        1500000.0           
21                   3526                 0.0                  17298000000.0        17299500000.0        1500000.0           
22                   3981                 0.0                  17298000000.0        17299500000.0        1500000.0           
23                   332                  0.0                  17299500000.0        17301000000.0        1500000.0           
24                   831                  0.0                  17299500000.0        17301000000.0        1500000.0           
25                   1888                 0.0                  17299500000.0        17301000000.0        1500000.0           
26                   2458                 0.0                  17299500000.0        17301000000.0        1500000.0           
27                   3375                 0.00390625           17299500000.0        17301220000.0        1720000.0           
28                   1384                 0.0078125            17299500000.0        17301440000.0        1940000.0           
29                   4027                 0.0                  17301000000.0        17302500000.0        1500000.0           
30                   2851                 0.00390625           17299500000.0        17302700000.0        3200000.0           
31                   1279                 0.0078125            17298000000.0        17302940000.0        4940000.0           
32                   408                  0.0                  17302940000.0        17304440000.0        1500000.0           
33                   863                  0.0                  17302940000.0        17304440000.0        1500000.0           
34                   1901                 0.0                  17302940000.0        17304440000.0        1500000.0           
35                   2510                 0.0                  17302940000.0        17304440000.0        1500000.0           
36                   4038                 0.0                  17302940000.0        17304440000.0        1500000.0           
37                   3446                 0.00390625           17302940000.0        17304660000.0        1720000.0           
38                   442                  0.0                  17304440000.0        17305940000.0        1500000.0           
39                   2865                 0.00390625           17302940000.0        17306140000.0        3200000.0           
40                   786                  0.00390625           17304440000.0        17306360000.0        1920000.0           
41                   2392                 0.00390625           17304440000.0        17306360000.0        1920000.0           
42                   1399                 0.0078125            17302940000.0        17306380000.0        3440000.0           
43                   1789                 0.00390625           17304440000.0        17307640000.0        3200000.0           
44                   2920                 0.00390625           17304660000.0        17307860000.0        3200000.0           
45                   3855                 0.00390625           17306140000.0        17307860000.0        1720000.0           
46                   1402                 0.0078125            17304440000.0        17307880000.0        3440000.0           
47                   3465                 0.00390625           17305940000.0        17308060000.0        2120000.0           
48                   466                  0.0                  17308060000.0        17309560000.0        1500000.0           
49                   901                  0.00390625           17308060000.0        17309780000.0        1720000.0           
50                   1794                 0.00390625           17308060000.0        17309780000.0        1720000.0           
51                   2446                 0.00390625           17308060000.0        17309780000.0        1720000.0           
52                   2926                 0.00390625           17308060000.0        17309780000.0        1720000.0           
53                   3547                 0.00390625           17308060000.0        17309780000.0        1720000.0           
54                   3876                 0.00390625           17308060000.0        17309780000.0        1720000.0           
55                   1419                 0.0078125            17308060000.0        17311500000.0        3440000.0           
56                   914                  0.00390625           17309780000.0        17311500000.0        1720000.0           
57                   1840                 0.00390625           17309780000.0        17311500000.0        1720000.0           
58                   2454                 0.00390625           17309780000.0        17311500000.0        1720000.0           
59                   2931                 0.00390625           17309780000.0        17311700000.0        1920000.0           
60                   303                  0.0078125            17309560000.0        17311720000.0        2160000.0           
61                   3332                 0.0078125            17309780000.0        17311940000.0        2160000.0           
62                   3890                 0.00390625           17311500000.0        17313220000.0        1720000.0           
63                   1456                 0.0078125            17309780000.0        17313420000.0        3640000.0           
64                   2492                 0.00390625           17313420000.0        17315140000.0        1720000.0           
65                   3994                 0.00390625           17313420000.0        17315140000.0        1720000.0           
66                   305                  0.0078125            17313420000.0        17315360000.0        1940000.0           
67                   766                  0.0078125            17313420000.0        17315360000.0        1940000.0           
68                   1809                 0.0078125            17313420000.0        17315360000.0        1940000.0           
69                   2882                 0.0078125            17313420000.0        17315360000.0        1940000.0           
70                   1479                 0.0078125            17313420000.0        17316840000.0        3420000.0           
71                   3333                 0.01171875           17313420000.0        17317080000.0        3660000.0           
72                   1820                 0.0078125            17315360000.0        17317300000.0        1940000.0           
73                   2318                 0.0078125            17315360000.0        17317300000.0        1940000.0           
74                   2909                 0.0078125            17315360000.0        17317300000.0        1940000.0           
75                   342                  0.0078125            17315140000.0        17318780000.0        3640000.0           
76                   792                  0.0078125            17315140000.0        17319000000.0        3860000.0           
77                   4049                 0.00390625           17317080000.0        17319000000.0        1920000.0           
78                   1276                 0.01171875           17315360000.0        17320700000.0        5340000.0           
79                   3358                 0.01171875           17316840000.0        17320700000.0        3860000.0           
80                   4050                 0.00390625           17320700000.0        17322420000.0        1720000.0           
