gcid                 end                  start                valid                duration             blocknum            
0                    6331380000.0         6329880000           0.0                  1500000.0            66                  
1                    6332880000.0         6329880000           0.0                  3000000.0            67                  
2                    6334380000.0         6329880000           0.0                  4500000.0            68                  
3                    6335880000.0         6329880000           0.0                  6000000.0            69                  
4                    6337380000.0         6329880000           0.0                  7500000.0            70                  
5                    6338880000.0         6329880000           0.0                  9000000.0            71                  
6                    6340380000.0         6329880000           0.0                  10500000.0           72                  
7                    6341880000.0         6329880000           0.0                  12000000.0           73                  
8                    6343380000.0         6331380000.0         0.0                  12000000.0           74                  
9                    6344880000.0         6332880000.0         0.0                  12000000.0           75                  
10                   6346380000.0         6334380000.0         0.0                  12000000.0           76                  
11                   6347880000.0         6335880000.0         0.0                  12000000.0           77                  
12                   6349380000.0         6337380000.0         0.0                  12000000.0           78                  
13                   6350880000.0         6338880000.0         0.0                  12000000.0           79                  
14                   6352380000.0         6340380000.0         0.0                  12000000.0           80                  
15                   6353880000.0         6341880000.0         0.0                  12000000.0           81                  
16                   6355380000.0         6353880000.0         0.0                  1500000.0            82                  
17                   6356880000.0         6353880000.0         0.0                  3000000.0            83                  
18                   6358380000.0         6353880000.0         0.0                  4500000.0            85                  
19                   6359880000.0         6353880000.0         0.0                  6000000.0            86                  
20                   6361380000.0         6353880000.0         0.0                  7500000.0            87                  
21                   6362880000.0         6353880000.0         0.0                  9000000.0            88                  
22                   6364380000.0         6353880000.0         0.0                  10500000.0           89                  
23                   6365880000.0         6353880000.0         0.0                  12000000.0           90                  
24                   6367380000.0         6355380000.0         0.0                  12000000.0           91                  
25                   6368880000.0         6356880000.0         0.0                  12000000.0           92                  
26                   6370380000.0         6358380000.0         0.0                  12000000.0           93                  
27                   6371880000.0         6359880000.0         0.0                  12000000.0           94                  
28                   6373380000.0         6361380000.0         0.0                  12000000.0           95                  
29                   6374880000.0         6362880000.0         0.0                  12000000.0           96                  
30                   6376380000.0         6364380000.0         0.0                  12000000.0           97                  
31                   6377880000.0         6365880000.0         0.0                  12000000.0           98                  
32                   6379380000.0         6377880000.0         0.0                  1500000.0            99                  
33                   6380880000.0         6377880000.0         0.0                  3000000.0            100                 
34                   6382380000.0         6377880000.0         0.0                  4500000.0            101                 
35                   6383880000.0         6377880000.0         0.0                  6000000.0            102                 
36                   6385380000.0         6377880000.0         0.0                  7500000.0            103                 
37                   6386880000.0         6377880000.0         0.0                  9000000.0            104                 
38                   6388380000.0         6377880000.0         0.0                  10500000.0           105                 
39                   6389880000.0         6377880000.0         0.0                  12000000.0           106                 
40                   6391380000.0         6379380000.0         0.0                  12000000.0           107                 
41                   6392880000.0         6380880000.0         0.0                  12000000.0           108                 
42                   6394380000.0         6382380000.0         0.0                  12000000.0           109                 
43                   6395880000.0         6383880000.0         0.0                  12000000.0           110                 
44                   6397380000.0         6385380000.0         0.0                  12000000.0           111                 
45                   6398880000.0         6386880000.0         0.0                  12000000.0           112                 
46                   6400380000.0         6388380000.0         0.0                  12000000.0           113                 
47                   6401880000.0         6389880000.0         0.0                  12000000.0           114                 
48                   6403380000.0         6401880000.0         0.0                  1500000.0            115                 
49                   6404880000.0         6401880000.0         0.0                  3000000.0            116                 
50                   6406380000.0         6401880000.0         0.0                  4500000.0            117                 
51                   6407880000.0         6401880000.0         0.0                  6000000.0            118                 
52                   6409380000.0         6401880000.0         0.0                  7500000.0            119                 
53                   6409380000.0         6407880000.0         0.0                  1500000.0            195                 
54                   6410880000.0         6401880000.0         0.0                  9000000.0            120                 
55                   6410880000.0         6409380000.0         0.0                  1500000.0            196                 
56                   6412380000.0         6401880000.0         0.0                  10500000.0           121                 
57                   6412380000.0         6409380000.0         0.0                  3000000.0            197                 
58                   6413880000.0         6401880000.0         0.0                  12000000.0           122                 
59                   6413880000.0         6410880000.0         0.0                  3000000.0            198                 
60                   6415380000.0         6403380000.0         0.0                  12000000.0           123                 
61                   6415380000.0         6410880000.0         0.0                  4500000.0            199                 
62                   6416880000.0         6404880000.0         0.0                  12000000.0           124                 
63                   6418380000.0         6406380000.0         0.0                  12000000.0           125                 
64                   6419880000.0         6418380000.0         0.0                  1500000.0            200                 
65                   6421380000.0         6418380000.0         0.0                  3000000.0            201                 
66                   6422880000.0         6418380000.0         0.0                  4500000.0            202                 
67                   6424380000.0         6418380000.0         0.0                  6000000.0            203                 
68                   6425880000.0         6418380000.0         0.0                  7500000.0            204                 
69                   6427380000.0         6418380000.0         0.0                  9000000.0            205                 
70                   6428880000.0         6418380000.0         0.0                  10500000.0           206                 
71                   6430380000.0         6418380000.0         0.0                  12000000.0           207                 
72                   6431880000.0         6419880000.0         0.0                  12000000.0           208                 
73                   6433380000.0         6421380000.0         0.0                  12000000.0           209                 
74                   6434880000.0         6422880000.0         0.0                  12000000.0           210                 
75                   6436380000.0         6424380000.0         0.0                  12000000.0           211                 
76                   6437880000.0         6425880000.0         0.0                  12000000.0           213                 
77                   6439380000.0         6427380000.0         0.0                  12000000.0           214                 
78                   6440880000.0         6428880000.0         0.0                  12000000.0           216                 
79                   6442380000.0         6430380000.0         0.0                  12000000.0           217                 
80                   6443880000.0         6442380000.0         0.0                  1500000.0            218                 
81                   6445380000.0         6442380000.0         0.0                  3000000.0            219                 
82                   6446880000.0         6442380000.0         0.0                  4500000.0            220                 
83                   6448380000.0         6442380000.0         0.0                  6000000.0            221                 
84                   6449880000.0         6442380000.0         0.0                  7500000.0            222                 
85                   6451380000.0         6442380000.0         0.0                  9000000.0            223                 
86                   6452880000.0         6442380000.0         0.0                  10500000.0           224                 
87                   6454380000.0         6442380000.0         0.0                  12000000.0           225                 
88                   6455880000.0         6443880000.0         0.0                  12000000.0           226                 
89                   6457380000.0         6445380000.0         0.0                  12000000.0           227                 
90                   6458880000.0         6446880000.0         0.0                  12000000.0           228                 
91                   6460380000.0         6448380000.0         0.0                  12000000.0           229                 
92                   6461880000.0         6449880000.0         0.0                  12000000.0           230                 
93                   6463380000.0         6451380000.0         0.0                  12000000.0           231                 
94                   6464880000.0         6452880000.0         0.0                  12000000.0           232                 
95                   6466380000.0         6454380000.0         0.0                  12000000.0           233                 
96                   6467880000.0         6466380000.0         0.0                  1500000.0            234                 
97                   6469380000.0         6466380000.0         0.0                  3000000.0            235                 
98                   6470880000.0         6466380000.0         0.0                  4500000.0            236                 
99                   6472380000.0         6466380000.0         0.0                  6000000.0            237                 
100                  6473880000.0         6466380000.0         0.0                  7500000.0            238                 
101                  6475380000.0         6466380000.0         0.0                  9000000.0            239                 
102                  6476880000.0         6466380000.0         0.0                  10500000.0           240                 
103                  6478380000.0         6466380000.0         0.0                  12000000.0           241                 
104                  6479880000.0         6467880000.0         0.0                  12000000.0           242                 
105                  6481380000.0         6469380000.0         0.0                  12000000.0           243                 
106                  6482880000.0         6470880000.0         0.0                  12000000.0           244                 
107                  6484380000.0         6472380000.0         0.0                  12000000.0           245                 
108                  6485880000.0         6473880000.0         0.0                  12000000.0           246                 
109                  6487380000.0         6475380000.0         0.0                  12000000.0           247                 
110                  6488880000.0         6476880000.0         0.0                  12000000.0           248                 
