gcid                 blocknum             valid                start                end                  duration            
0                    118                  0.0                  3497080000           3498580000.0         1500000.0           
1                    246                  0.0                  3497080000           3498580000.0         1500000.0           
2                    374                  0.0                  3497080000           3498580000.0         1500000.0           
3                    758                  0.0                  3497080000           3498580000.0         1500000.0           
4                    886                  0.0                  3497080000           3498580000.0         1500000.0           
5                    1014                 0.0                  3497080000           3498580000.0         1500000.0           
6                    502                  0.0                  3497080000           3498980000.0         1900000.0           
7                    630                  0.0                  3497080000           3498980000.0         1900000.0           
8                    119                  0.0                  3498580000.0         3500080000.0         1500000.0           
9                    247                  0.0                  3498580000.0         3500080000.0         1500000.0           
10                   375                  0.0                  3498580000.0         3500080000.0         1500000.0           
11                   759                  0.0                  3498580000.0         3500080000.0         1500000.0           
12                   503                  0.0                  3498580000.0         3500480000.0         1900000.0           
13                   631                  0.0                  3498580000.0         3500480000.0         1900000.0           
14                   887                  0.0                  3498980000.0         3500480000.0         1500000.0           
15                   1015                 0.0                  3498980000.0         3500480000.0         1500000.0           
16                   120                  0.0                  3500480000.0         3501980000.0         1500000.0           
17                   248                  0.0                  3500480000.0         3501980000.0         1500000.0           
18                   376                  0.0                  3500480000.0         3501980000.0         1500000.0           
19                   504                  0.0                  3500480000.0         3501980000.0         1500000.0           
20                   632                  0.0                  3500480000.0         3501980000.0         1500000.0           
21                   760                  0.0                  3500480000.0         3501980000.0         1500000.0           
22                   888                  0.0                  3500480000.0         3501980000.0         1500000.0           
23                   1016                 0.0                  3500480000.0         3501980000.0         1500000.0           
24                   121                  0.0                  3501980000.0         3503480000.0         1500000.0           
25                   249                  0.0                  3501980000.0         3503480000.0         1500000.0           
26                   377                  0.0                  3501980000.0         3503480000.0         1500000.0           
27                   505                  0.0                  3501980000.0         3503480000.0         1500000.0           
28                   633                  0.0                  3501980000.0         3503480000.0         1500000.0           
29                   761                  0.0                  3501980000.0         3503480000.0         1500000.0           
30                   889                  0.0                  3501980000.0         3503480000.0         1500000.0           
31                   1017                 0.0                  3501980000.0         3503480000.0         1500000.0           
32                   122                  0.0                  3503480000.0         3504980000.0         1500000.0           
33                   250                  0.0                  3503480000.0         3504980000.0         1500000.0           
34                   378                  0.0                  3503480000.0         3504980000.0         1500000.0           
35                   506                  0.0                  3503480000.0         3504980000.0         1500000.0           
36                   634                  0.0                  3503480000.0         3504980000.0         1500000.0           
37                   762                  0.0                  3503480000.0         3504980000.0         1500000.0           
38                   890                  0.0                  3503480000.0         3504980000.0         1500000.0           
39                   1018                 0.0                  3503480000.0         3504980000.0         1500000.0           
40                   123                  0.0                  3504980000.0         3506480000.0         1500000.0           
41                   251                  0.0                  3504980000.0         3506480000.0         1500000.0           
42                   379                  0.0                  3504980000.0         3506480000.0         1500000.0           
43                   507                  0.0                  3504980000.0         3506480000.0         1500000.0           
44                   635                  0.0                  3504980000.0         3506480000.0         1500000.0           
45                   763                  0.0                  3504980000.0         3506480000.0         1500000.0           
