gcid                 blocknum             valid                start                end                  duration            
0                    330                  0.0                  14402880000          14404780000.0        1900000.0           
1                    815                  0.0                  14402880000          14405180000.0        2300000.0           
2                    332                  0.0                  14402880000          14406280000.0        3400000.0           
3                    822                  0.0                  14402880000          14406680000.0        3800000.0           
4                    1362                 0.0                  14405180000.0        14406680000.0        1500000.0           
5                    408                  0.0                  14402880000          14407780000.0        4900000.0           
6                    1867                 0.0                  14406280000.0        14407780000.0        1500000.0           
7                    831                  0.0                  14402880000          14408180000.0        5300000.0           
8                    442                  0.0                  14402880000          14409280000.0        6400000.0           
9                    1885                 0.0                  14406680000.0        14409280000.0        2600000.0           
10                   2458                 0.0                  14407780000.0        14409280000.0        1500000.0           
11                   863                  0.0                  14404780000.0        14409680000.0        4900000.0           
12                   466                  0.0                  14402880000          14410780000.0        7900000.0           
13                   1888                 0.0                  14406680000.0        14410780000.0        4100000.0           
14                   2504                 0.0                  14408180000.0        14410780000.0        2600000.0           
15                   1901                 0.0                  14407780000.0        14412280000.0        4500000.0           
16                   2510                 0.0                  14412280000.0        14413780000.0        1500000.0           
17                   2877                 0.0                  14412280000.0        14413780000.0        1500000.0           
18                   3393                 0.0                  14412280000.0        14413780000.0        1500000.0           
19                   3972                 0.0                  14412280000.0        14413780000.0        1500000.0           
20                   2892                 0.0                  14412280000.0        14415280000.0        3000000.0           
21                   3425                 0.0                  14412280000.0        14415280000.0        3000000.0           
22                   3981                 0.0                  14413780000.0        14415280000.0        1500000.0           
23                   2896                 0.0                  14412280000.0        14416780000.0        4500000.0           
24                   3526                 0.0                  14412280000.0        14416780000.0        4500000.0           
25                   4027                 0.0                  14413780000.0        14416780000.0        3000000.0           
26                   914                  0.00390625           14415280000.0        14417000000.0        1720000.0           
27                   1421                 0.00390625           14415280000.0        14417000000.0        1720000.0           
28                   1840                 0.00390625           14415280000.0        14417000000.0        1720000.0           
29                   4038                 0.0                  14413780000.0        14418280000.0        4500000.0           
30                   2392                 0.00390625           14416780000.0        14418700000.0        1920000.0           
31                   901                  0.00390625           14413780000.0        14419980000.0        6200000.0           
32                   3375                 0.00390625           14419980000.0        14421700000.0        1720000.0           
33                   2454                 0.00390625           14419980000.0        14421740000.0        1760000.0           
34                   2920                 0.00390625           14419980000.0        14421760000.0        1780000.0           
35                   2446                 0.00390625           14419980000.0        14423240000.0        3260000.0           
36                   2926                 0.00390625           14419980000.0        14423260000.0        3280000.0           
37                   3547                 0.00390625           14421760000.0        14423480000.0        1720000.0           
38                   2492                 0.00390625           14419980000.0        14424740000.0        4760000.0           
39                   2851                 0.00390625           14419980000.0        14424760000.0        4780000.0           
40                   3876                 0.00390625           14423240000.0        14424980000.0        1740000.0           
41                   2931                 0.00390625           14419980000.0        14426260000.0        6280000.0           
42                   3446                 0.00390625           14421700000.0        14426440000.0        4740000.0           
43                   3890                 0.00390625           14423260000.0        14426500000.0        3240000.0           
44                   3465                 0.00390625           14421740000.0        14427960000.0        6220000.0           
45                   3994                 0.00390625           14423480000.0        14428040000.0        4560000.0           
46                   4049                 0.00390625           14424740000.0        14429540000.0        4800000.0           
47                   4050                 0.00390625           14424760000.0        14431040000.0        6280000.0           
48                   812                  0.0078125            14431040000.0        14433140000.0        2100000.0           
49                   303                  0.0078125            14431040000.0        14433180000.0        2140000.0           
50                   880                  0.0078125            14431040000.0        14434640000.0        3600000.0           
51                   305                  0.0078125            14431040000.0        14434680000.0        3640000.0           
52                   440                  0.0078125            14431040000.0        14436180000.0        5140000.0           
53                   956                  0.0078125            14433180000.0        14436640000.0        3460000.0           
54                   342                  0.0078125            14431040000.0        14437680000.0        6640000.0           
55                   1384                 0.0078125            14436180000.0        14438120000.0        1940000.0           
56                   972                  0.0078125            14434640000.0        14438140000.0        3500000.0           
57                   403                  0.0078125            14431040000.0        14439180000.0        8140000.0           
58                   973                  0.0078125            14434680000.0        14439640000.0        4960000.0           
59                   1402                 0.0078125            14437680000.0        14440080000.0        2400000.0           
60                   463                  0.0078125            14431040000.0        14440680000.0        9640000.0           
61                   1399                 0.0078125            14436640000.0        14441580000.0        4940000.0           
62                   908                  0.0078125            14433140000.0        14442380000.0        9240000.0           
63                   1419                 0.0078125            14438120000.0        14443300000.0        5180000.0           
64                   2355                 0.0078125            14443300000.0        14445240000.0        1940000.0           
